SHIP_NO,SHIP_GUBUN,GROSS_TONNAGE,REG_LENGTH,REG_BREADTH,REG_DEPTH,NATURE,PURPOSE,PURPOSE_GU,REG_PORT
10136469104,1,0.77,5.81,1.63,0.72,5,E60,1,4691036000
10136481902,1,1.46,7.02,2.01,0.6,5,B04,1,4819000000
10146467703,1,5.74,11.34,3.35,0.93,5,B13,2,4678039000
10146469103,1,0.84,5.31,1.85,0.71,5,F00,2,4691036000
10146481901,1,3.19,8.57,2.5,0.79,5,B04,1,4819000000
10156461306,1,4.98,10.04,3.16,1,5,B04,1,4613034000
10156467702,1,1.21,6.55,1.83,0.61,5,B04,1,4831039000
10156481900,1,2.99,8.66,2.65,0.85,5,E60,1,4815134000
10166481909,1,1.63,6.53,2.07,1.06,5,B04,1,4819000000
10176467700,1,3.27,8.24,2.65,0.85,5,F00,2,4677035000
10176468003,1,1.05,6.8,1.85,0.49,5,B04,1,4613000000
10176468905,1,3.65,9.65,3.4,0.78,5,E60,1,4822034000
10176469100,1,0.71,4.96,1.58,0.77,5,E60,1,4691037000
10176481908,1,1.11,6.12,1.75,0.8,5,B04,1,4819000000
10186264400,1,0.8,5.99,1.64,0.73,5,E70,1,2644000000
10186461303,1,1.79,7,2.34,0.7,5,B10,3,4613000000
10186468904,1,0.94,7.28,1.88,0.55,5,E60,1,4689033000
10186469109,1,0.86,5.58,1.17,0.73,5,E60,1,4691036000
10196264409,1,1.31,7.42,1.94,0.83,5,E70,1,2644000000
10196467708,1,4.94,9.86,3.13,1.15,5,B04,1,4613000000
10196468001,1,1.62,7.28,2.14,0.79,5,B04,1,4680012000
10196468903,1,0.78,6.19,1.69,0.68,5,E60,1,4689031000
10196469108,1,0.53,4.3,1.68,0.62,5,F00,4,4691036000
10206264406,1,1.05,6.03,1.8,0.9,5,E70,1,2644000000
10206468008,1,0.82,6.5,1.85,0.55,5,B04,1,4822025000
10206469105,1,1.49,7.63,2.07,0.74,5,E60,1,4691036000
10216264405,1,1.05,6.03,1.8,0.9,5,B13,2,2644000000
10216461308,1,3.39,8.84,2.49,0.83,5,B13,2,4815134000
10216467704,1,4.79,10,3.27,0.82,5,B10,3,4482532000
10216468007,1,0.77,6.35,1.74,0.52,5,A01,1,4613000000
10216469104,1,1.34,6.03,2.27,0.83,5,E70,1,4691036000
10226461307,1,5.49,10.65,3.33,0.88,5,B04,1,4822000000
10226469103,1,0.87,5.45,1.84,0.74,5,F00,2,4691036000
10236467702,1,0.95,5.94,1.73,0.83,5,F00,1,4690000000
10246468906,1,4.74,10.26,2.89,1.02,5,B04,1,4689011000
10266461303,1,3.77,8.68,2.61,0.76,5,E60,1,4822033000
10266467709,1,4.97,11.34,3.35,0.93,5,E60,1,4283035000
10266469109,1,0.68,5.18,1.76,0.54,5,E70,1,4691042000
10276468903,1,4.39,10.16,3.64,0.75,5,E60,1,4777031000
10276469108,1,0.89,6.5,1.8,0.57,5,B04,1,4513039000
10286469107,1,0.53,4.31,1.84,0.52,5,E60,1,4689033000
10296461300,1,5.32,10.65,3.06,0.96,5,C13,1,4613025000
10296468901,1,4.19,9.82,3.3,0.75,5,B04,1,4677034000
10306468908,1,3.34,9.8,3.3,0.75,5,B04,1,4613036000
10316461306,1,3.73,8.78,2.93,0.81,5,E60,1,4815100000
10316468907,1,1.12,6.03,2.02,0.77,5,E39,1,4689036000
10326461305,1,4.97,10.3,3.36,0.85,5,E60,1,4613025000
10326468906,1,1.44,6.93,2.04,0.82,5,E60,1,4689035000
10336461304,1,4.97,10.3,3.36,0.85,5,F00,3,4613000000
10336468905,1,0.68,5.15,1.66,0.62,5,E60,1,4689035000
10346461303,1,11,14.2,3.96,1.21,5,C04,1,4513000000
10366461301,1,1.79,7,2.34,0.7,5,B04,1,4613000000
10366468902,1,0.88,5.62,1.85,0.69,5,E60,1,4689032000
10366469107,1,4.1,9.12,2.66,0.76,5,E39,1,4691036000
10376468901,1,3.65,9.64,3.4,0.78,5,E60,1,4713025000
10386461309,1,1.9,7.66,2.22,0.74,5,B13,2,4613000000
10386469105,1,1.23,6.24,2,0.77,5,E39,1,4691036000
10396468909,1,1.12,5.94,1.72,0.82,5,E60,1,4689034000
10396469104,1,1.24,5.93,1.9,0.76,5,B10,3,4687013000
10406461305,1,6.67,11.5,3.35,0.93,5,C10,1,4513039000
10406468906,1,1.31,6.39,1.95,0.86,5,E60,1,4689012000
10406469101,1,1.99,6.75,3,0.84,5,E60,1,4691043000
10416469100,1,2.66,7.8,3.16,0.79,5,E60,1,4691042000
10426468904,1,1.89,8,2.4,0.62,5,B04,1,4689035000
10426469109,1,1.15,6.21,2.03,0.77,5,B04,1,4691042000
10456468901,1,1.09,7.2,2.02,0.55,5,E60,1,4689036000
10466468900,1,3.25,9.07,3.38,0.8,5,E60,1,4822035000
11396437307,1,0.76,5.77,1.72,0.7,5,E70,1,4373033000
11436437301,1,0.3,4.41,1.5,0.41,5,,,4373038000
20016212909,1,1.61,6.71,2.28,0.88,5,E70,1,2629000000
20016262007,1,7.93,12.7,3.5,1.21,5,A01,15,4482534000
20016263800,1,1.32,6.59,1.94,0.89,5,E70,1,2638000000
20016267100,1,29,21.95,5,1.59,5,C05,2,2671000000
20016281102,1,65,22.8,6.7,2.7,1,C05,2,2811000000
20016281700,1,63,19.76,6.68,2.64,1,E63,1,4513000000
20016312006,1,1.48,6.73,2.31,0.81,5,B13,2,3120000000
20016422101,1,3.59,9.35,2.62,0.81,5,B10,3,4221000000
20016428203,1,1.92,7.45,2.14,0.76,5,B10,3,4282033000
20016428301,1,3.08,9.15,2.45,0.79,5,B04,1,4283034000
20016448003,1,2.3,6.93,2.28,0.76,5,B10,3,4418000000
20016457905,1,1.07,6.57,1.9,0.71,5,E70,1,4579036000
20016461104,1,7.93,12.65,3.17,0.98,5,B13,2,4611000000
20016461300,1,1.98,7.3,2.28,0.71,5,B13,2,4831000000
20016461506,1,0.48,4.82,1.58,0.55,5,E70,1,4615000000
20016467706,1,1.9,8.5,2.42,0.64,5,B04,1,4677034000
20016468009,1,0.84,5.76,1.84,0.62,5,B04,1,4680013000
20016468401,1,0.84,5.79,1.78,0.56,5,B04,1,4611000000
20016468705,1,2.94,7.8,2.58,0.79,5,B13,2,2650000000
20016468901,1,4.34,9.82,3.3,0.75,5,E60,1,4824000000
20016479300,1,4.98,10.54,2.95,0.88,5,E60,1,4793038000
20016481502,1,1.58,7.7,2.06,0.65,5,B10,3,4884039000
20016482207,1,1.85,8.42,2.14,0.63,5,B10,3,4831034000
20016483108,1,1.23,7.7,1.98,0.54,5,B04,1,4831038000
20016488407,1,9.77,14.08,3.67,1.13,5,E60,1,4884039000
20016491108,1,6,10.69,2.98,0.98,5,B04,1,4911000000
20016491304,1,3,6.66,2.5,1.23,5,B04,1,4972031000
20026212908,1,1.37,7.77,2.1,0.78,5,B04,1,4687013000
20026264406,1,1.19,7.29,1.86,0.77,5,B04,1,2644000000
20026267109,1,1.75,6.81,2.35,0.93,5,B04,1,2671000000
20026281101,1,65,22.8,6.7,2.7,1,C05,2,2811000000
20026421503,1,40,24.89,5.28,1.9,5,C07,1,4711125000
20026421709,1,1.98,7.93,2.04,0.65,5,B10,3,4217000000
20026428202,1,29,21.95,5,1.59,5,C07,1,4215025000
20026428300,1,2.29,7.95,2.28,0.74,5,B04,1,4221000000
20026441803,1,29,21.9,5.2,1.78,1,E63,1,2811000000
20026442106,1,0.43,4.45,1.53,0.38,5,B10,3,4421034000
20026447709,1,7.93,12,3.13,1,5,B10,3,4687037000
20026448253,1,4.61,9.64,2.8,0.9,5,E60,1,4482512000
20026451301,1,1.88,7.46,2.28,0.94,5,B04,1,4580036000
20026461103,1,4.82,10,2.62,0.83,5,B04,1,4611000000
20026468008,1,0.73,5.49,1.9,0.5,5,A01,14,4680032000
20026468900,1,4.71,9.61,3.7,0.77,5,F00,2,4690031000
20026469105,1,0.7,5.31,1.75,0.65,5,B04,1,4611000000
20026477703,1,1.85,8.46,2.07,0.65,5,B13,2,4777032000
20026479309,1,4.47,10.5,2.76,0.81,5,B10,3,4711125000
20026479407,1,4.61,11.1,2.65,0.95,5,B04,1,4794011000
20026481501,1,0.73,5.4,1.64,0.75,5,B04,1,4819000000
20026481903,1,3.79,9.79,2.68,0.91,5,C13,1,4819000000
20026482206,1,1.88,8.45,2.15,0.69,5,B10,3,4822034000
20026488406,1,4.99,10.38,3.65,0.86,5,B10,3,4884039000
20026491303,1,1.33,5.69,1.84,0.89,5,B04,1,4971011000
20036212907,1,1.11,7.61,1.98,0.73,5,E70,1,2629000000
20036263808,1,1.09,6.24,1.9,0.82,5,B10,3,2638000000
20036264405,1,1.35,7.2,1.98,0.85,5,B04,1,2644000000
20036267108,1,1.47,7.05,2.1,0.95,5,B13,2,2671000000
20036281100,1,9.77,15.3,4.11,1.1,5,B10,3,2820000000
20036417508,1,2.57,7.81,2.42,0.98,5,B10,3,4175041000
20036421502,1,1.45,6.35,2.05,0.93,5,B04,1,4215025000
20036447708,1,4.96,11.2,3.03,0.84,5,B13,2,4482533000
20036451300,1,23,17.8,4.5,1.65,5,E63,1,4580042000
20036458009,1,2.84,9.54,2.47,0.94,5,B10,3,4580036000
20036461308,1,4.95,10.6,2.91,0.89,5,B10,3,4483032000
20036468007,1,1,6.3,1.87,0.69,5,B04,1,4691038000
20036468105,1,2.42,8.1,2.26,0.71,5,B10,3,4884011000
20036468203,1,3.41,10.07,3.58,0.69,5,E60,1,4682034000
20036468409,1,0.59,5.45,1.65,0.6,5,B04,1,4684037000
20036469006,1,0.8,6.62,1.88,0.43,5,E39,1,4690036000
20036482205,1,1.99,8.5,2.19,0.74,5,B10,3,4822031000
20036488209,1,1.22,6.52,1.92,0.63,5,B04,1,4815131000
20036488503,1,0.66,6.35,1.61,0.49,5,B10,3,4885037000
20036491106,1,9.77,13.36,3.7,1.13,5,B04,1,4911000000
20036491302,1,3.99,9.17,2.59,0.8,5,B04,1,4913000000
20036497208,1,4.59,8.99,2.58,0.74,5,B04,1,4972031000
20046417507,1,2.11,8.19,2.2,0.81,5,B04,1,2872000000
20046421501,1,1.02,5.96,1.83,0.81,5,B10,3,4215034000
20046447707,1,1.87,7.11,2.14,0.75,5,B10,3,4513039000
20046467703,1,4.99,10.25,3.2,1.02,5,B04,1,4677036000
20046468104,1,0.96,5.52,1.85,0.65,5,B04,1,4611000000
20046468202,1,0.88,5.92,1.7,0.77,5,E60,1,4689033000
20046468408,1,0.55,5.04,1.81,0.51,5,E39,1,4684036000
20046468908,1,1.73,6.3,2.88,0.61,5,E39,1,4691037000
20046469005,1,0.78,5.8,1.8,0.56,5,F00,4,4690033000
20046469103,1,4.1,10.15,2.5,0.94,5,E60,1,4691036000
20046483105,1,0.75,5.85,1.78,0.68,5,B04,1,4831039000
20046488208,1,0.63,5.65,1.74,0.62,2,B04,1,4882032000
20046488404,1,1.98,7.1,2.28,0.69,5,B13,2,4884039000
20056264403,1,2.21,7.72,2.28,0.92,5,B04,1,2644000000
20056267006,1,2.4,8.34,2.24,0.67,5,B04,1,4613025000
20056281108,1,6.16,12.01,3.1,0.79,5,B04,1,4824000000
20056287200,1,9.77,14.5,4.1,1.17,5,B04,1,2814000000
20056448250,1,7.31,12,3.13,1,5,C13,1,4482512000
20056461306,1,9.77,13.9,3.85,1.21,5,B04,1,4513039000
20056467702,1,4.99,10.1,3.18,0.92,5,B13,2,4711125000
20056468005,1,0.93,6.16,1.82,0.75,5,E39,1,4690032000
20056469004,1,0.95,6.5,1.98,0.53,5,E39,1,4690036000
20056481900,1,1,6.29,1.88,0.73,5,B04,1,4819000000
20056497206,1,3.65,9.03,2.59,0.8,5,B04,1,4972031000
20066267105,1,1.92,7.79,2.15,1.04,5,E60,1,2671013000
20066287209,1,9.77,14.13,3.79,1.11,5,B04,1,4911000000
20066468906,1,3.65,9.73,3.4,0.78,5,E60,1,4689031000
20066469003,1,0.75,5.13,1.74,0.71,5,A01,15,4690036000
20066469101,1,4.16,10.15,2.5,0.94,5,B04,1,4691036000
20066471107,1,5.65,11.25,2.86,1.05,5,B10,3,4711139000
20066481909,1,1,6.29,1.88,0.73,5,B04,1,4819000000
20066482202,1,9.77,13.85,3.85,1.39,5,B07,1,4157034000
20066497205,1,0.71,5.4,1.7,0.72,5,B04,1,4972013000
20076267104,1,1.1,6.18,1.96,0.78,5,F00,4,2671000000
20076281106,1,6.44,11.75,3.33,0.85,5,B10,3,2814000000
20076287208,1,9.77,14.3,4.2,1.12,5,B10,3,4711125000
20076461304,1,3.6,9.61,2.61,0.76,5,B04,1,4613034000
20076468003,1,1.87,7.11,2.2,0.96,5,I00,1,4611000000
20076468209,1,3.3,9.56,3.48,0.74,5,F00,4,4822035000
20076469002,1,1.17,6.03,1.98,0.78,5,F00,1,4690032000
20076469100,1,3.15,9.6,3.58,0.69,5,E60,1,4677034000
20076471106,1,4.02,10,2.63,0.77,5,B13,2,4711137000
20076482201,1,79,26.63,6.2,2.86,5,C09,1,4822000000
20076488401,1,9.77,14.62,4.28,1.22,5,E09,0,4884033000
20086267103,1,2.78,9.4,2.32,0.71,5,B04,1,2671000000
20086287207,1,8.55,14.2,3.3,0.99,5,B13,2,2872035000
20086442100,1,0.3,4.41,1.58,0.4,5,B10,3,4421034000
20086467709,1,3.25,8.57,2.5,0.79,5,B13,2,4613033000
20086469001,1,0.93,6.57,1.8,0.75,5,F00,1,4690033000
20086469109,1,1.99,7.6,3.16,0.62,5,E39,1,4691042000
20086482406,1,0.48,6.12,1.43,0.49,5,B04,1,4815100000
20086488400,1,7.31,13.15,3.16,0.91,5,B04,1,4884034000
20096264409,1,1.55,7.25,2.13,0.9,5,E70,1,2644000000
20096448256,1,2.84,9.8,2.6,0.63,5,E60,1,4691036000
20096468903,1,1.31,6.39,1.95,0.86,5,E60,1,4689011000
20096469000,1,0.93,6.57,1.8,0.75,5,B04,1,4690032000
20096469108,1,9.77,15,4.04,1.08,5,B10,3,4683000000
20096481906,1,0.75,5.94,1.57,0.73,5,B04,1,4819000000
20096488409,1,1.73,6.6,2.1,0.59,5,B04,1,4882031000
20106264406,1,1.16,6.89,2,0.74,5,E70,1,2644000000
20106287203,1,9.77,14.47,4.15,1.1,5,B10,3,4687013000
20106448255,1,4.99,10.16,2.83,0.91,5,B04,1,4482533000
20106461309,1,4.99,9.5,2.8,0.92,5,B04,1,4613025000
20106468900,1,4.29,9.15,3.38,0.8,5,E60,1,4689035000
20106469007,1,2.15,8.6,2.4,0.73,5,B10,3,4613000000
20106469105,1,1.08,5.22,2.1,0.87,5,E60,1,4691011000
20106471101,1,1.54,7.6,2.08,0.67,5,B10,3,4711000000
20106482206,1,3.71,9.7,2.55,0.81,5,B13,2,4822031000
20116461308,1,1.53,7.19,1.98,0.67,5,B04,1,4613000000
20116468909,1,3.75,9.4,3.48,0.84,5,E60,1,4690032000
20116471100,1,2.98,9.7,2.62,0.79,5,B10,3,4711125000
20126461307,1,1.88,7,2.34,0.9,5,B10,3,4613000000
20126468908,1,1.83,6.84,2.2,0.9,5,E27,1,4691032000
20136482203,1,1.5,7.62,2.01,0.46,5,B04,1,4884032000
20146471107,1,39,21.95,5.36,2.17,5,C07,1,4777031000
20156468905,1,4.97,9.72,3.4,0.78,5,E60,1,4882032000
